time_s,sedov_xi,sample_radius_cm,frame_x1_cm,frame_x2_cm,frame_x3_cm,frame_v1_cm_s,frame_v2_cm_s,frame_v3_cm_s,shock_radius_cm,shock_speed_cm_s,rho_g_cm3,pressure_dyn_cm2,vx_cm_s,vy_cm_s,vz_cm_s,mass_flux_g_cm2_s,momentum_flux_dyn_cm2,sample_is_shocked,inner_x1_shocked_fraction
32113409001956.945,0.2997064807414143,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.085482161603666e+20,3637562.7966066496,5.0547527042711154e-27,2.53531140782057e-12,654195.092157758,0.0,0.0,3.3067944112053185e-21,2.537474696495155e-12,1.0,1.0
32730974559686.883,0.297551824160693,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.107825007133013e+20,3598406.5114280465,4.893186549457029e-27,2.4809755726674032e-12,642497.1803896244,0.0,0.0,3.1438585611465767e-21,2.482995492928484e-12,1.0,1.0
33348540117416.83,0.295450427255444,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.1299294728896256e+20,3560354.4147239374,4.739515407116363e-27,2.428738451012206e-12,631210.3584808933,0.0,0.0,2.9916312191516363e-21,2.4306267996264895e-12,1.0,1.0
33966105675146.773,0.29340007230055803,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.151802222793412e+20,3523356.783759963,4.593224533407491e-27,2.378484089636974e-12,620313.3254046586,0.0,0.0,2.8492383846482616e-21,2.3802515101742255e-12,1.0,1.0
34583671232876.71,0.29139867016487575,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.1734496232306816e+20,3487366.9432948064,4.453840874695644e-27,2.3301048071150646e-12,609786.2271924841,0.0,0.0,2.71589082349633e-21,2.3317609199337913e-12,1.0,1.0
35201236790606.65,0.2894442508233101,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.1948777611380136e+20,3452341.030909835,4.32092905389185e-27,2.2835004748595756e-12,599610.5360704395,0.0,0.0,2.5908745863264292e-21,2.285053990559174e-12,1.0,1.0
35818802348336.59,0.287534954713941,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.216092460704956e+20,3418237.7839757884,4.1940878025810176e-27,2.2385778715132147e-12,589768.9415138733,0.0,0.0,2.4735427239444536e-21,2.240036690187305e-12,1.0,1.0
36436367906066.54,0.28566902485234086,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.237099298821893e+20,3385018.34594336,4.0729467830376455e-27,2.1952501021244636e-12,580245.2518714209,0.0,0.0,2.363308031982572e-21,2.1966214003887313e-12,1.0,1.0
37053933463796.48,0.28384479962575687,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.2579036193859974e+20,3352646.089924717,3.9571637520139704e-27,2.1534360746744046e-12,571024.3053806578,0.0,0.0,2.259636682771295e-21,2.1547263821415967e-12,1.0,1.0
37671499021526.414,0.2820607061987726,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.278510546566414e+20,3321086.4577754694,3.846422024782442e-27,2.1130600274759732e-12,562091.8895454416,0.0,0.0,2.1620426238991663e-21,2.1142752940997185e-12,1.0,1.0
38289064579256.36,0.280315254469901,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.298924997119416e+20,3290306.81309677,3.740428203519335e-27,2.074051101788646e-12,553434.6679721386,0.0,0.0,2.070082640888346e-21,2.075196757287681e-12,1.0,1.0
38906630136986.305,0.2786070315253887,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.319151691835092e+20,3260276.3067599246,3.638910138890973e-27,2.036342954697571e-12,545040.1138716559,0.0,0.0,1.983351996469859e-21,2.0374239610955744e-12,1.0,1.0
39524195694716.24,0.27693469654247355,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.339195166189005e+20,3230965.7537151,3.541615097781718e-27,1.999873407914931e-12,536896.4495291683,0.0,0.0,1.9014805715979027e-21,2.0008943060826706e-12,1.0,1.0
40141761252446.18,0.2752969760995677,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.35905978026505e+20,3202347.519984627,3.448308113595152e-27,1.9645841286869464e-12,528992.5911257709,0.0,0.0,1.8241294440107187e-21,1.9655490796480823e-12,1.0,1.0
40759326810176.125,0.27369265985542,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.378749728009316e+20,3174395.4188629817,3.3587704985566866e-27,1.9304203394455405e-12,521318.09836787387,0.0,0.0,1.7509878491616875e-21,1.9313331611013307e-12,1.0,1.0
41376892367906.07,0.2721205965633457,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.398269045869084e+20,3147084.6154521154,3.2727985000245354e-27,1.897330553238777e-12,513863.1284424974,0.0,0.0,1.6817704759845207e-21,1.898194753076889e-12,1.0,1.0
41994457925636.01,0.27057969039016416,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.417621620865975e+20,3120391.538754391,3.1902020850394948e-27,1.8652663323180835e-12,506618.3938710503,0.0,0.0,1.6162150564467848e-21,1.866085136594131e-12,1.0,1.0
42612023483365.945,0.2690688975126212,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.436811198147753e+20,3094293.800627823,3.11080383926589e-27,1.8341820675599403e-12,499575.12388178444,0.0,0.0,1.5540802133731875e-21,1.8349584473750582e-12,1.0,1.0
43229589041095.89,0.26758722296684617,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.455841388059179e+20,3068770.120980921,3.034437968140324e-27,1.8040347766614505e-12,492725.0289628251,0.0,0.0,1.4951435357378373e-21,1.8047714713034006e-12,1.0,1.0
43847154598825.836,0.26613371772885114,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.474715672768724e+20,3043800.258648666,2.960949389489505e-27,1.774783919278313e-12,486060.2682943198,0.0,0.0,1.4391998546611712e-21,1.7754834571457988e-12,1.0,1.0
44464720156555.77,0.26470747600626093,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.493437412484619e+20,3019364.947447899,2.8901929081346946e-27,1.746391227474629e-12,479573.4197904696,0.0,0.0,1.3860596968083179e-21,1.7470559448634611e-12,1.0,1.0
45082285714285.71,0.2633076327233987,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.5120098512908406e+20,2995445.836960777,2.822032464095219e-27,1.7188205500303555e-12,473257.4525106034,0.0,0.0,1.3355478948599243e-21,1.7194526080247828e-12,1.0,1.0
45699851272015.66,0.26193336118358107,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.530436122630921e+20,2972025.4376396406,2.7563404469590323e-27,1.6920377093076388e-12,467105.7012235376,0.0,0.0,1.2875023372875979e-21,1.6926391089897244e-12,1.0,1.0
46317416829745.6,0.26058387089401364,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.5487192544651484e+20,2949087.069866394,2.6929970698246785e-27,1.6660103695141007e-12,461111.84293163137,0.0,0.0,1.2417728418763406e-21,1.6665829656777208e-12,1.0,1.0
46934982387475.54,0.2592584055400523,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.566862174124516e+20,2926614.81663492,2.631889796951137e-27,1.6407079153221314e-12,455269.8751805883,0.0,0.0,1.198220139347008e-21,1.6412534288554107e-12,1.0,1.0
47552547945205.48,0.25795624109682747,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.584867712882872e+20,2904593.4795566387,2.5729128198956646e-27,1.6161013399101908e-12,449574.09599849046,0.0,0.0,1.1567149550875202e-21,1.616621368990452e-12,1.0,1.0
48170113502935.42,0.25667668406732813,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.602738610266919e+20,2883008.537917556,2.515966577484662e-27,1.5921631415869453e-12,444019.0853230293,0.0,0.0,1.1171371784380522e-21,1.5926591718150957e-12,1.0,1.0
48787679060665.36,0.2554190698370321,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.620477518122152e+20,2861846.1105404017,2.4609573154612387e-27,1.5688672282431383e-12,438599.6877896893,0.0,0.0,1.0793751102250512e-21,1.569340641829491e-12,1.0,1.0
49405244618395.3,0.2541827611360557,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.638087004451353e+20,2841092.9202280915,2.407796682092138e-27,1.546188828950926e-12,433310.99676592177,0.0,0.0,1.0433247803270234e-21,1.5466409130514402e-12,1.0,1.0
50022810176125.24,0.2529671466005949,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.6555695570409384e+20,2820736.2605850645,2.3564013564051552e-27,1.5241044120969198e-12,428148.3395273156,0.0,0.0,1.0088893280047813e-21,1.5245363663874718e-12,1.0,1.0
50640375733855.18,0.2517716394261506,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.67292758688927e+20,2800763.9650312746,2.3066927060719453e-27,1.5025916094945435e-12,423107.26348157594,0.0,0.0,9.759784385590119e-22,1.5030045530608992e-12,1.0,1.0
51257941291585.125,0.25059567610567807,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.69016343144994e+20,2781164.3778400617,2.258596472255514e-27,1.481629145974277e-12,418183.52335489966,0.0,0.0,9.445078306047578e-22,1.4820241235867156e-12,1.0,1.0
51875506849315.06,0.24943871524638672,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.70727935770204e+20,2761926.3270458863,2.212042479012124e-27,1.461196773997708e-12,413373.0692631968,0.0,0.0,9.143987888898122e-22,1.4615747618316018e-12,1.0,1.0
52493072407045.0,0.24830023645944654,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.724277565058537e+20,2743039.0990812858,2.1669643650778253e-27,1.4412752128837247e-12,408672.0355976781,0.0,0.0,8.85577738143985e-22,1.441637123740652e-12,1.0,1.0
53110637964774.945,0.24717973931733725,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.741160188123013e+20,2724492.4150144174,2.1232993360835572e-27,1.4218460922731575e-12,404076.7306606637,0.0,0.0,8.579758539386015e-22,1.4221927803512028e-12,1.0,1.0
53728203522504.89,0.2460767423740102,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.757929299304291e+20,2706276.408269482,2.0809879354335648e-27,1.4028918994923324e-12,399583.6269931858,0.0,0.0,8.3152870696960535e-22,1.4032241647490123e-12,1.0,1.0
54345769080234.83,0.2449907822434279,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.7745869112977765e+20,2688381.6037221695,2.0399738322522716e-27,1.384395930506595e-12,395189.35234110046,0.0,0.0,8.061759375605679e-22,1.3847145226532325e-12,1.0,1.0
54963334637964.766,0.24392141273240325,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.791134979441686e+20,2670798.8980711806,2.000203624956548e-27,1.3663422441824623e-12,390890.6812110572,0.0,0.0,7.8186095752009105e-22,1.3666478663447595e-12,1.0,1.0
55580900195694.71,0.2428682040239882,9.247390000446466e+19,0.0,0.0,0.0,0.0,0.0,0.0,3.8075754039557593e+20,2653519.5413950374,1.9616266591467643e-27,1.3487156196019747e-12,386684.5269718794,0.0,0.0,7.5853067678759475e-22,1.3490089316779219e-12,1.0,1.0
